Date,Price,Open,High,Low,Vol.
15-Jun-23,"24,953.50","25,129.50","25,205.70","24,862.20",73.12K
14-Jun-23,"25,129.50","25,929.00","26,051.70","24,847.40",60.82K
13-Jun-23,"25,929.40","25,906.90","26,428.90","25,726.40",56.24K
12-Jun-23,"25,906.80","25,927.90","26,080.70","25,635.00",40.75K
11-Jun-23,"25,928.40","25,843.30","26,190.10","25,660.80",39.20K
10-Jun-23,"25,844.00","26,479.30","26,525.10","25,468.30",83.57K
9-Jun-23,"26,479.30","26,501.10","26,773.90","26,326.70",38.96K
8-Jun-23,"26,501.10","26,341.80","26,784.40","26,231.30",39.95K
7-Jun-23,"26,342.50","27,230.20","27,342.00","26,141.00",77.48K
6-Jun-23,"27,230.20","25,745.60","27,325.20","25,425.60",88.61K
5-Jun-23,"25,747.40","27,122.30","27,125.50","25,437.50",85.42K
4-Jun-23,"27,122.30","27,070.90","27,410.20","26,956.10",23.81K
3-Jun-23,"27,072.00","27,246.00","27,317.50","26,931.40",20.62K
2-Jun-23,"27,244.70","26,819.00","27,299.40","26,541.30",49.37K
1-Jun-23,"26,819.00","27,216.40","27,340.90","26,662.30",51.98K
31-May-23,"27,216.10","27,696.90","27,825.00","26,865.10",63.08K
30-May-23,"27,698.20","27,738.90","28,033.60","27,583.80",45.19K
29-May-23,"27,739.40","28,068.40","28,431.20","27,548.80",54.56K
28-May-23,"28,071.20","26,855.30","28,181.90","26,788.50",55.23K
27-May-23,"26,857.50","26,711.20","26,882.90","26,591.20",18.68K
26-May-23,"26,711.50","26,475.50","26,911.60","26,330.00",45.88K
25-May-23,"26,475.80","26,327.10","26,589.20","25,892.50",50.17K
24-May-23,"26,328.40","27,220.70","27,220.70","26,088.70",72.65K
23-May-23,"27,220.70","26,851.60","27,448.10","26,804.10",50.89K
22-May-23,"26,847.30","26,749.90","27,048.90","26,546.10",35.56K
21-May-23,"26,749.90","27,116.20","27,257.10","26,677.60",27.42K
20-May-23,"27,116.20","26,883.00","27,147.20","26,831.30",17.72K
19-May-23,"26,882.90","26,828.20","27,154.70","26,711.30",36.67K
18-May-23,"26,828.00","27,403.80","27,467.00","26,449.80",63.39K
17-May-23,"27,403.10","27,035.50","27,465.30","26,597.70",58.14K
16-May-23,"27,035.30","27,183.90","27,295.30","26,881.90",45.29K
15-May-23,"27,183.90","26,920.40","27,651.70","26,752.10",53.27K
14-May-23,"26,920.00","26,777.40","27,176.10","26,609.90",26.35K
13-May-23,"26,777.50","26,798.70","27,011.90","26,695.60",27.95K
12-May-23,"26,799.20","26,983.10","27,044.00","25,853.10",87.49K
11-May-23,"26,983.50","27,604.30","27,607.40","26,766.20",62.85K
10-May-23,"27,603.30","27,634.30","28,311.70","26,885.70",91.45K
9-May-23,"27,634.90","27,670.50","27,816.00","27,366.30",49.75K
8-May-23,"27,670.50","28,424.80","28,627.80","27,280.30",85.72K
7-May-23,"28,424.80","28,857.10","29,122.00","28,419.60",36.50K
6-May-23,"28,857.10","29,512.80","29,816.40","28,414.90",58.94K
5-May-23,"29,513.20","28,842.20","29,653.90","28,825.30",74.52K
4-May-23,"28,842.10","29,023.60","29,352.70","28,687.40",53.80K
3-May-23,"29,023.60","28,669.10","29,244.70","28,164.40",81.22K
2-May-23,"28,669.10","28,079.00","28,877.40","27,913.20",65.33K
1-May-23,"28,077.60","29,252.10","29,329.60","27,685.90",84.36K
30-Apr-23,"29,252.10","29,235.10","29,941.30","29,095.00",47.62K
29-Apr-23,"29,234.10","29,318.40","29,425.50","29,058.50",25.72K
28-Apr-23,"29,321.80","29,475.90","29,587.20","28,927.80",69.88K
27-Apr-23,"29,475.90","28,424.50","29,859.80","28,392.40",121.63K
26-Apr-23,"28,424.60","28,298.80","29,995.70","27,307.80",164.31K
25-Apr-23,"28,298.80","27,510.10","28,375.60","27,201.10",65.31K
24-Apr-23,"27,509.30","27,591.40","27,978.80","27,054.30",66.74K
23-Apr-23,"27,591.40","27,813.80","27,815.00","27,388.50",41.77K
22-Apr-23,"27,813.90","27,264.80","27,872.00","27,165.70",44.30K
21-Apr-23,"27,264.80","28,240.50","28,353.40","27,171.10",98.72K
20-Apr-23,"28,240.50","28,813.70","29,082.10","28,032.40",95.45K
19-Apr-23,"28,813.70","30,382.20","30,408.40","28,641.10",111.27K
18-Apr-23,"30,382.20","29,434.10","30,470.10","29,149.20",76.58K
17-Apr-23,"29,434.90","30,310.80","30,312.20","29,274.00",71.90K
16-Apr-23,"30,310.30","30,299.20","30,545.30","30,134.60",34.48K
15-Apr-23,"30,299.60","30,472.60","30,586.50","30,208.80",31.71K
14-Apr-23,"30,472.50","30,387.40","30,964.90","30,026.00",98.38K
13-Apr-23,"30,387.40","29,892.40","30,524.10","29,864.50",65.87K
12-Apr-23,"29,886.40","30,209.80","30,473.00","29,679.50",78.69K
11-Apr-23,"30,209.60","29,641.00","30,484.60","29,597.80",89.38K
10-Apr-23,"29,641.00","28,326.50","29,755.40","28,182.90",85.73K
9-Apr-23,"28,326.60","27,941.20","28,522.70","27,809.20",39.35K
8-Apr-23,"27,941.20","27,910.40","28,153.10","27,863.80",23.73K
7-Apr-23,"27,910.40","28,037.60","28,102.50","27,779.40",30.94K
6-Apr-23,"28,036.70","28,173.50","28,173.50","27,734.50",51.29K
5-Apr-23,"28,173.50","28,164.40","28,744.40","27,823.50",77.32K
4-Apr-23,"28,164.40","27,802.20","28,429.10","27,668.90",64.06K
3-Apr-23,"27,802.10","28,194.70","28,458.40","27,256.90",98.00K
2-Apr-23,"28,198.30","28,456.10","28,522.80","27,871.70",45.04K
1-Apr-23,"28,456.10","28,473.70","28,795.10","28,285.60",38.09K
31-Mar-23,"28,473.70","28,029.30","28,646.30","27,587.50",98.44K
30-Mar-23,"28,029.50","28,350.30","29,160.40","27,716.70",122.51K
29-Mar-23,"28,350.40","27,262.90","28,627.40","27,249.80",109.32K
28-Mar-23,"27,262.20","27,127.80","27,465.00","26,665.60",94.16K
27-Mar-23,"27,129.80","27,974.80","28,023.30","26,611.50",107.24K
26-Mar-23,"27,973.50","27,474.90","28,153.70","27,429.10",60.64K
25-Mar-23,"27,475.60","27,462.20","27,761.90","27,176.70",61.36K
24-Mar-23,"27,462.20","28,306.90","28,374.50","27,026.50",110.36K
23-Mar-23,"28,310.70","27,262.80","28,734.10","27,144.60",158.46K
22-Mar-23,"27,261.70","28,114.20","28,760.30","26,668.70",262.03K
21-Mar-23,"28,114.00","27,719.80","28,437.80","27,350.60",438.78K
20-Mar-23,"27,720.50","27,958.90","28,457.80","27,157.00",503.90K
19-Mar-23,"27,958.70","26,914.50","28,347.30","26,844.60",393.27K
18-Mar-23,"26,914.50","27,391.90","27,659.10","26,688.70",392.47K
17-Mar-23,"27,391.80","25,004.40","27,742.20","24,900.10",674.96K
16-Mar-23,"25,004.10","24,283.20","25,139.00","24,147.90",462.58K
15-Mar-23,"24,282.70","24,699.60","25,108.90","23,932.40",614.31K
14-Mar-23,"24,699.70","24,121.50","26,365.90","23,994.60",753.06K
13-Mar-23,"24,114.40","21,994.80","24,406.20","21,859.60",733.63K
12-Mar-23,"21,994.80","20,465.00","22,028.60","20,294.20",455.69K
11-Mar-23,"20,467.50","20,156.50","20,669.50","19,796.70",453.46K
10-Mar-23,"20,156.70","20,362.00","20,362.60","19,591.80",655.27K
